rank(ticket sales),title,age,rate(netizen)
1,돈,15세 관람가,7.81
2,캡틴 마블,12세 관람가,6.62
3,악질경찰,청소년 관람불가,6.15
4,우상,15세 관람가,5.01
5,이스케이프 룸,15세 관람가,7.79
6,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,15세 관람가,7.47
7,정글북: 마법 원정대,전체 관람가,7.07
8,양지의 그녀,12세 관람가,8.88
9,그린 북,12세 관람가,9.62
10,라스트 미션,15세 관람가,8.84
11,더 페이버릿: 여왕의 여자,15세 관람가,8.79
12,극한직업,15세 관람가,8.57
13,아사코,12세 관람가,7.92
14,더 와이프,15세 관람가,8.59
15,항거:유관순 이야기,12세 관람가,8.64
16,가버나움,15세 관람가,9.59
17,숲속왕국의 꿀벌 여왕,전체 관람가,8.81
18,증인,12세 관람가,9.06
19,원 네이션,15세 관람가,8.29
20,철벽선생,12세 관람가,7.92
21,살인마 잭의 집,청소년 관람불가,6.45
22,에브리타임 룩 앳 유,12세 관람가,8.33
23,1919 유관순,12세 관람가,8.64
24,사바하,15세 관람가,7.25
25,칠곡 가시나들,전체 관람가,9.21
26,킹 오브 프리즘 -샤이니 세븐 스타즈-,12세 관람가,9.47
27,로마,15세 관람가,9.07
28,국경의 왕,15세 관람가,7.81
29,그때 그들,청소년 관람불가,7.4
30,일일시호일,12세 관람가,8.87
31,리노,전체 관람가,8.32
32,러브 라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,전체 관람가,8.49
33,나는 다른 언어로 꿈을 꾼다,15세 관람가,7.51
34,신데렐라:마법 반지의 비밀,전체 관람가,6.51
35,콜드 워,15세 관람가,8.47
36,보헤미안 랩소디,12세 관람가,9.43
37,빠삐용,15세 관람가,8.66
38,히치하이크,12세 관람가,9.44
39,드래곤 길들이기 3,전체 관람가,9.26
40,인생 후르츠,전체 관람가,9.07
41,도쿄의 밤하늘은 항상 가장 짙은 블루,15세 관람가,8.22
42,러빙 빈센트,15세 관람가,9.21
43,슈퍼미니 2,전체 관람가,7.66
44,내가 사는 세상,12세 관람가,8.21
45,엔젤페이스,15세 관람가,7.77
46,극장판 헬로카봇:옴파로스 섬의 비밀,전체 관람가,8.77
47,님포매니악 볼륨2,청소년 관람불가,7.74
48,산상수훈,전체 관람가,6.6
49,언더독,전체 관람가,9.37
50,님포매니악 볼륨1,청소년 관람불가,7.63
